Variable,Site,Tide,mean_value,sd_value,n
NN,BP,High,1.248421052631579,1.4245578286304759,38
NN,BP,Low,5.800571428571429,8.449076852761227,35
NN,W,High,0.17930232558139536,0.060764782596391405,43
NN,W,Low,1.1166666666666667,2.0108239624915165,42
Phosphate,BP,High,0.18421052631578946,0.042972749312782964,38
Phosphate,BP,Low,0.266,0.2064717613507816,35
Phosphate,W,High,0.1144186046511628,0.019432707526646106,43
Phosphate,W,Low,0.17166666666666666,0.1180102655035893,42
Salinity,BP,High,34.271781930526316,0.321746606745688,38
Salinity,BP,Low,33.463324508285716,1.5638957987948428,35
Salinity,W,High,34.544652286046514,0.07380372613240903,43
Salinity,W,Low,33.610821354047616,1.7583721052685553,42
Silicate,BP,High,10.671578947368422,7.712600264823156,38
Silicate,BP,Low,30.051142857142857,37.488206205923156,35
Silicate,W,High,3.106279069767442,1.679299773652575,43
Silicate,W,Low,24.354285714285716,40.00927887151699,42
TA,BP,High,2252.7459973157893,60.12659913171976,38
TA,BP,Low,2281.0683379142856,51.97109999017124,35
TA,W,High,2276.765083744186,24.205720433868496,43
TA,W,Low,2253.016885857143,40.80761462622501,42
Temp_in,BP,High,24.922080776578948,1.1928952396105572,38
Temp_in,BP,Low,24.39036402714286,0.3009978815191007,35
Temp_in,W,High,24.66527037372093,0.8520854721825916,43
Temp_in,W,Low,24.039599580714285,0.48148737306766093,42
pH,BP,High,8.105372554447369,0.160340480727037,38
pH,BP,Low,8.065673841171428,0.05095242938721655,35
pH,W,High,8.008697674418604,0.08152140673692805,43
pH,W,Low,7.959261904761905,0.03914330115807409,42
percent_sgd,BP,High,1.3440275751578947,0.971360234873714,38
percent_sgd,BP,Low,3.784778697314285,4.7214365499339115,35
percent_sgd,W,High,0.4013280451860465,0.2169637950839212,43
percent_sgd,W,Low,3.146548541857143,5.169157476713377,42
